,Station,Latitude,Longitude
234,Halsted St & Roosevelt Rd,41.867323999999996,-87.648625
235,Halsted St & Wrightwood Ave,41.929142999999996,-87.649077
236,Fairfield Ave & Roosevelt Rd,41.866624,-87.694521
237,Racine Ave & Garfield Blvd,41.794228000000004,-87.655073
238,May St & 69th St,41.768938,-87.652934
239,LaSalle St & Illinois St,41.890762,-87.631697
240,Lincoln Ave & Sunnyside Ave,41.963004,-87.684781
241,Calumet Ave & 18th St,41.857611,-87.619407
242,Albany Ave & 16th St,41.859359999999995,-87.70302
243,Sheridan Rd & Columbia Ave,42.004583000000004,-87.661406
244,State St & Pershing Rd,41.823015238,-87.62656801799999
245,Wabash Ave & Roosevelt Rd,41.867227,-87.625961
246,Delano Ct & Roosevelt Rd,41.867490999999994,-87.63219000000001
247,Eckhart Park,41.89637337,-87.66098386
248,Broadway & Argyle St,41.973815,-87.65966
249,Washtenaw Ave & Lawrence Ave,41.968987,-87.696027
250,Theater on the Lake,41.926277,-87.630834
251,Vernon Ave & 79th St,41.75094,-87.61379000000001
252,DuSable Lake Shore Dr & Diversey Pkwy,41.932588,-87.636427
253,Michigan Ave & Lake St,41.886024,-87.624117
254,Racine Ave & 15th St,41.861267,-87.656625
255,Wentworth Ave & 35th St,41.830777000000005,-87.632504
256,Ashland Ave & Grand Ave,41.891071999999994,-87.666611
257,Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.67616899999999
258,Hermitage Ave & Polk St,41.871514000000005,-87.669886
259,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393
260,Central Ave & Chicago Ave,41.894958,-87.764902
261,Cherry Ave & Blackhawk St,41.907221,-87.655618
262,Shields Ave & 43rd St,41.816207679,-87.63481935
263,Winthrop Ave & Lawrence Ave,41.968812,-87.657659
264,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617
265,Orange & Addison,41.9448846,-87.82423
266,Kilbourn Ave & Irving Park Rd,41.953733,-87.740569
267,Clark St & Grace St,41.95078,-87.659172
268,Southport Ave & Wrightwood Ave,41.928773,-87.663913
269,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743
270,Stony Island Ave & 90th St,41.731394943000005,-87.585743666
271,Damen Ave & Coulter St,41.8492,-87.67564
272,Sedgwick St & Huron St,41.894666,-87.638437
273,Chicago Ave & Washington St,42.032562,-87.679101
274,Ridge Blvd & Howard St,42.019276,-87.68451999999999
275,Lake Park Ave & 35th St,41.831274235,-87.608799195
276,Wabash Ave & Wacker Pl,41.886875,-87.62603
277,Union Ave & Root St,41.819102,-87.64327800000001
278,Adler Planetarium,41.866095,-87.60726700000001
279,California Ave & Division St,41.903029,-87.697474
280,Vincennes Ave & 75th St,41.75797,-87.63121
281,Racine Ave & 13th St,41.865054,-87.656959
282,Stony Island Ave & 67th St,41.773458499,-87.58533973899999
283,Kedzie Ave & Foster Ave,41.975671999999996,-87.709261
284,Halsted St & 37th St,41.827059000000006,-87.64572
285,Prairie Ave & 43rd St,41.816658893,-87.61941246200001
286,Lincoln Ave & Waveland Ave,41.948797,-87.675278
287,Wells St & 19th St,41.856802,-87.63387900000001
288,Halsted St & 47th Pl,41.808133915,-87.645616554
289,Wabash Ave & 9th St,41.870769,-87.625734
290,Princeton Ave & 47th St,41.809317709,-87.633449288
